,rounds,accuracy,train_time,ency_time,FedAvg,dec_time
0,1,10.0,3380.96,580.07,11.48,15.38
1,2,10.0,4130.73,650.29,8.73,15.88
2,3,10.01,7025.62,680.77,15.4,18.6
3,4,10.25,5284.19,745.63,8.32,16.17
4,5,11.6,7216.15,739.51,13.59,17.93
5,6,15.69,5714.51,714.66,10.27,13.97
6,7,16.54,6035.25,598.15,8.83,14.02
7,8,14.89,3888.39,580.82,9.13,13.99
8,9,15.84,6575.31,754.37,12.6,15.14
9,10,17.66,7166.76,706.13,8.98,18.68
10,11,21.18,7114.52,688.7,11.38,19.63
11,12,22.6,7271.76,842.31,18.59,19.96
12,13,24.01,7280.72,722.83,12.61,16.35
13,14,24.91,7186.38,721.02,9.61,17.93
14,15,25.5,7282.28,737.24,11.58,15.7
15,16,26.19,7403.25,845.1,11.22,18.21
16,17,27.09,7286.23,770.48,10.93,27.84
17,18,28.05,7087.2,782.44,9.21,25.58
18,19,29.08,7209.11,737.65,8.57,17.09
19,20,29.74,7476.69,777.93,14.34,22.59
20,21,30.08,6889.08,738.59,11.39,19.22
21,22,30.65,4496.0,699.23,11.99,33.31
22,23,31.15,5908.62,668.53,9.02,13.75
23,24,31.29,5637.66,590.26,8.79,14.62
24,25,31.8,5115.15,611.32,8.42,14.47
25,26,33.14,5320.05,658.13,9.96,16.86
26,27,33.22,6770.39,720.73,8.36,20.94
27,28,33.8,7300.18,767.6,11.13,16.47
28,29,34.02,7120.79,743.04,12.57,19.3
29,30,34.25,7178.21,758.23,8.77,19.97
30,31,34.41,6633.65,725.04,15.55,20.36
31,32,35.05,7067.23,747.07,9.97,19.0
32,33,35.27,6839.24,804.06,8.43,15.92
33,34,35.67,6784.56,715.76,13.27,15.28
34,35,35.63,7350.72,708.73,17.39,27.47
35,36,36.06,7263.47,732.68,8.32,17.57
36,37,36.49,7483.81,738.46,9.36,14.51
37,38,36.22,6895.17,736.14,12.55,17.23
38,39,36.64,5491.7,721.34,11.7,16.91
39,40,37.29,5090.49,829.21,15.45,21.1
40,41,37.4,5086.69,749.68,8.67,22.85
41,42,37.87,5918.85,765.16,10.35,16.12
42,43,38.23,6084.79,783.4,13.15,22.27
43,44,38.37,4260.84,743.28,11.94,19.47
44,45,39.0,5378.77,728.7,13.43,17.57
45,46,38.79,4007.95,668.52,12.36,17.14
46,47,39.44,5725.29,788.4,11.45,16.23
47,48,39.51,4871.02,730.27,11.27,16.65
48,49,39.79,4959.48,641.18,8.9,17.04
49,50,39.98,4455.7,728.53,9.04,16.41
