,rounds,accuracy,train_time,ency_time,FedAvg,dec_time
0,1,13.1,2604.66,409.22,6.58,9.0
1,2,32.13,2493.22,398.83,6.3,9.93
2,3,36.85,3392.88,412.06,6.01,10.26
3,4,50.88,3456.01,428.04,6.85,9.87
4,5,56.92,3702.28,496.58,5.92,13.26
5,6,58.97,3815.78,498.01,5.99,12.16
6,7,60.15,3699.19,445.02,7.17,12.0
7,8,63.94,3868.19,431.98,7.52,12.15
8,9,65.55,3331.06,415.28,8.91,11.38
9,10,66.48,3115.47,409.81,6.46,12.18
10,11,67.36,4589.29,415.68,6.35,10.74
11,12,67.86,4242.86,408.13,5.28,9.69
12,13,69.05,4772.79,402.26,5.39,9.7
13,14,70.04,4526.91,396.55,6.34,13.28
14,15,70.6,2888.64,417.41,6.07,10.82
15,16,71.36,4161.68,423.41,6.34,10.09
16,17,71.99,3120.77,404.59,6.47,10.51
17,18,72.98,3073.9,418.71,6.39,10.73
18,19,73.15,4315.39,412.64,5.38,11.21
19,20,73.54,3696.38,411.98,6.76,9.67
20,21,73.66,4353.13,414.33,6.66,10.78
21,22,74.3,2634.17,393.0,5.82,10.17
22,23,74.67,3972.98,395.44,6.71,17.02
23,24,74.99,4321.44,395.66,6.64,10.66
24,25,74.9,3125.16,409.32,5.37,9.61
25,26,74.8,4050.12,437.17,7.21,11.45
26,27,75.11,3538.62,404.57,6.58,9.98
27,28,75.74,4388.99,396.93,6.19,9.43
28,29,75.76,3450.62,422.41,5.32,13.64
29,30,76.25,5081.49,533.93,10.12,20.97
30,31,76.58,4891.23,528.93,9.35,16.35
31,32,76.68,4069.34,530.64,9.03,13.29
32,33,76.77,5044.3,523.47,11.16,15.65
33,34,76.93,3137.81,522.17,6.99,14.07
34,35,76.55,4902.18,523.22,9.9,15.71
35,36,77.18,4535.1,518.0,6.82,14.5
36,37,77.49,3606.24,503.89,8.55,13.65
37,38,77.84,2784.23,480.4,5.55,10.04
38,39,78.2,2408.12,390.59,5.56,9.96
39,40,77.75,2787.96,397.34,6.34,11.92
40,41,78.63,2679.32,403.6,5.9,10.81
41,42,78.65,2488.6,393.49,5.53,9.81
42,43,78.29,2763.2,393.77,5.12,9.85
43,44,78.83,2350.16,402.89,5.35,9.88
44,45,79.1,2621.84,410.66,7.44,11.07
45,46,79.39,2657.85,409.51,6.56,11.55
46,47,79.44,2600.96,403.82,6.08,11.13
47,48,78.8,2808.96,398.06,7.6,14.89
48,49,79.47,2638.41,435.57,4.96,10.49
49,50,80.23,2869.78,405.92,6.16,10.11
