,rounds,accuracy,train_time,ency_time,FedAvg,dec_time
0,1,13.1,2596.48,0,2.5,-1
1,2,32.14,2599.13,0,0.0,-1
2,3,36.86,3049.74,0,1.0,-1
3,4,50.88,3640.53,0,0.0,-1
4,5,56.84,4249.0,0,0.0,-1
5,6,58.96,2897.41,0,0.0,-1
6,7,60.19,3808.2,0,0.0,-1
7,8,64.0,3872.96,0,0.0,-1
8,9,65.46,3836.76,0,0.0,-1
9,10,66.56,4004.2,0,0.0,-1
10,11,67.35,3932.06,0,0.0,-1
11,12,67.86,3844.13,0,0.5,-1
12,13,69.02,3855.98,0,0.0,-1
13,14,69.98,3717.26,0,0.0,-1
14,15,70.62,3804.72,0,0.0,-1
15,16,71.32,3899.8,0,0.0,-1
16,17,72.07,3941.17,0,0.0,-1
17,18,72.97,2981.46,0,0.0,-1
18,19,73.1,2901.57,0,0.0,-1
19,20,73.5,2718.0,0,0.0,-1
20,21,73.75,3081.95,0,0.0,-1
21,22,74.26,3053.04,0,0.0,-1
22,23,74.65,3085.29,0,0.0,-1
23,24,74.94,3345.95,0,0.0,-1
24,25,74.98,3026.99,0,0.0,-1
25,26,74.73,3316.89,0,1.0,-1
26,27,75.12,2948.98,0,0.0,-1
27,28,75.74,3328.52,0,1.48,-1
28,29,75.68,3013.34,0,0.0,-1
29,30,76.32,3341.35,0,0.0,-1
30,31,76.58,3284.28,0,0.0,-1
31,32,76.63,3258.73,0,0.5,-1
32,33,76.71,3518.8,0,0.81,-1
33,34,76.91,2888.95,0,0.0,-1
34,35,76.68,2461.22,0,0.0,-1
35,36,77.15,2734.89,0,0.0,-1
36,37,77.49,2868.1,0,1.04,-1
37,38,77.86,2376.87,0,0.0,-1
38,39,78.25,2960.28,0,0.0,-1
39,40,77.64,2963.03,0,0.0,-1
40,41,78.62,3936.24,0,0.0,-1
41,42,78.75,4393.49,0,0.8,-1
42,43,78.23,4371.32,0,0.0,-1
43,44,78.77,4570.7,0,1.08,-1
44,45,79.07,3978.44,0,0.0,-1
45,46,79.4,4201.4,0,1.5,-1
46,47,79.45,3889.57,0,0.0,-1
47,48,78.91,4252.2,0,0.0,-1
48,49,79.5,4182.59,0,1.43,-1
49,50,80.24,3723.34,0,0.0,-1
