,rounds,accuracy,train_time,ency_time,FedAvg,dec_time
0,1,17.04,3491.21,298.55,5.49,7.49
1,2,24.31,2576.13,260.85,2.68,6.55
2,3,22.8,3730.01,231.79,3.03,6.21
3,4,24.33,2464.12,219.93,3.1,5.73
4,5,39.4,4434.56,237.43,2.89,5.63
5,6,44.37,3629.71,226.09,3.03,6.31
6,7,48.18,3178.77,233.51,4.34,5.69
7,8,52.4,4250.36,239.26,3.78,5.32
8,9,56.18,3993.21,243.86,3.35,9.25
9,10,59.37,4185.29,242.65,3.64,6.17
10,11,63.03,4261.16,246.14,3.53,5.22
11,12,70.47,4131.12,241.89,3.12,6.35
12,13,76.99,4748.51,235.82,2.51,6.91
13,14,81.59,4046.7,236.46,4.01,4.98
14,15,83.28,4732.18,239.84,4.86,5.7
15,16,83.6,4672.99,238.65,4.21,7.24
16,17,86.67,4719.71,240.48,5.37,5.18
17,18,87.29,4046.96,240.94,3.08,5.03
18,19,88.07,2391.34,226.84,4.1,5.68
19,20,89.0,4701.04,239.56,3.56,6.21
20,21,89.7,2376.9,231.86,2.51,5.44
21,22,90.01,2423.99,233.87,2.54,5.26
22,23,90.19,2429.72,246.85,4.43,7.33
23,24,90.77,2878.5,267.94,4.42,7.31
24,25,91.46,2831.11,305.95,4.3,5.44
25,26,91.86,2948.42,294.59,8.17,7.37
26,27,92.02,2938.31,277.74,4.41,5.48
27,28,92.03,2884.95,286.9,4.13,7.29
28,29,92.41,2885.76,320.71,3.59,6.73
29,30,92.46,2874.22,276.52,5.72,7.7
30,31,92.86,2730.04,296.22,3.24,8.4
31,32,93.07,2879.06,273.15,3.41,7.37
32,33,93.14,2744.96,291.28,4.84,6.12
33,34,93.4,2753.28,278.49,3.12,8.11
34,35,93.26,2797.36,283.36,3.21,7.53
35,36,93.51,2898.05,299.5,4.47,6.45
36,37,93.55,2895.8,289.96,3.53,6.78
37,38,93.76,2899.7,301.71,5.34,5.21
38,39,93.94,2828.8,273.93,3.7,7.05
39,40,93.77,2976.76,309.23,4.4,6.8
40,41,93.95,3100.09,300.28,3.88,5.58
41,42,94.2,3036.36,268.61,4.36,5.4
42,43,94.1,2888.19,293.93,4.05,6.68
43,44,94.34,3036.42,287.56,3.65,6.19
44,45,94.61,2875.74,299.62,4.15,7.15
45,46,94.42,2740.92,286.72,4.18,7.76
46,47,94.59,2797.73,273.98,4.56,11.2
47,48,94.68,2960.9,275.72,4.46,6.65
48,49,94.65,2748.06,274.17,3.54,6.68
49,50,94.69,2850.66,289.77,4.12,6.22
