,rounds,accuracy,train_time,ency_time,FedAvg,dec_time
0,1,17.0,4260.25,14928.1,436.99,706.21
1,2,24.28,5852.18,16405.59,533.03,902.08
2,3,22.9,5316.91,14882.24,442.68,709.81
3,4,24.3,5935.54,17606.21,562.27,897.76
4,5,38.68,6279.04,17616.89,535.61,863.75
5,6,44.35,6053.42,18979.97,465.82,709.07
6,7,48.09,5417.08,15333.87,485.73,745.36
7,8,52.21,4061.0,15895.99,499.07,1011.94
8,9,56.05,4655.85,19770.66,513.82,821.62
9,10,59.25,4297.6,18416.34,575.08,863.22
10,11,62.75,4093.47,17930.2,436.4,677.3
11,12,70.24,4030.51,15286.64,433.09,707.25
12,13,76.82,4510.95,15196.26,471.42,731.49
13,14,81.5,4573.9,15237.16,437.55,685.06
14,15,83.18,4245.17,15273.76,442.74,694.62
15,16,83.51,3754.29,14737.6,429.79,685.88
16,17,86.51,3881.63,14490.43,418.33,734.31
17,18,87.18,4457.47,15493.3,451.96,711.04
18,19,88.09,3300.92,14951.29,437.36,716.02
19,20,88.87,3715.15,14870.62,469.03,708.75
20,21,89.6,5175.21,15061.05,448.22,716.65
21,22,89.88,4609.29,15334.16,462.7,766.39
22,23,90.13,4604.04,15032.64,438.67,717.23
23,24,90.73,5384.91,15097.42,447.16,675.34
24,25,91.5,5397.4,14998.53,449.34,719.59
25,26,91.85,5037.95,16209.19,521.45,878.38
26,27,91.95,5028.34,20050.49,560.14,926.98
27,28,92.08,4565.56,19402.26,512.42,822.61
28,29,92.47,3981.02,18735.71,532.61,945.45
29,30,92.48,3980.14,18947.2,535.8,892.05
30,31,92.86,4180.58,18813.75,557.06,878.83
31,32,93.07,4033.61,19055.04,546.8,836.84
32,33,93.12,3952.81,18006.92,488.38,800.0
33,34,93.35,3902.23,18084.53,506.76,839.14
34,35,93.29,3795.78,18590.68,514.17,817.77
35,36,93.56,3867.28,18499.99,556.35,951.93
36,37,93.56,3689.63,18527.57,556.38,843.11
37,38,93.77,3589.83,17289.66,586.76,913.28
38,39,93.93,4834.09,21380.62,541.37,927.56
39,40,93.76,5140.88,21063.74,546.77,905.6
40,41,93.95,5191.65,21546.69,837.15,1312.86
41,42,94.17,5358.44,22088.79,706.0,1074.53
42,43,94.11,5370.44,21473.73,536.61,874.79
43,44,94.31,6031.47,21739.56,599.06,886.59
44,45,94.54,4742.63,20909.17,414.3,745.96
45,46,94.42,5604.76,15642.66,448.39,715.12
46,47,94.59,5353.74,15436.54,444.09,721.6
47,48,94.69,5672.64,15386.27,481.1,695.04
48,49,94.67,4491.52,17102.36,534.74,855.87
49,50,94.64,4007.74,18443.29,596.16,932.47
