,rounds,accuracy,train_time,ency_time,FedAvg,dec_time
0,1,45.83,7855.89,118763.46,2675.94,2778.27
1,2,51.44,7350.76,123480.67,2520.29,3226.18
2,3,56.14,7942.72,129920.43,2572.33,3227.75
3,4,59.68,8262.03,130885.74,2671.85,3441.48
4,5,61.89,8081.15,127373.98,2726.34,3363.46
5,6,64.05,7990.92,135297.17,2672.17,3547.43
6,7,65.19,8565.84,132444.5,3322.16,3465.61
7,8,66.92,7786.9,127853.57,2820.75,3168.48
8,9,67.92,8115.96,140136.94,2830.52,3545.71
9,10,68.99,8468.79,130597.7,2772.14,3369.19
10,11,69.43,8468.06,132814.47,2678.83,3644.69
11,12,70.38,7683.08,136028.07,2759.77,3068.7
12,13,71.03,8182.18,129776.18,2728.69,3173.93
13,14,71.51,8095.75,132138.39,2711.97,3353.55
14,15,71.54,8159.46,130160.09,2633.27,3397.79
15,16,71.89,7937.46,132391.45,2672.64,3324.17
16,17,72.99,8117.24,127919.74,2730.69,3455.95
17,18,72.87,8305.84,131616.6,2496.59,3461.22
18,19,73.42,8432.22,130193.73,2502.45,3426.78
19,20,74.01,8134.15,130531.78,2515.2,3409.59
20,21,74.06,8246.42,131396.07,2448.99,3351.68
21,22,74.49,8084.6,129164.6,2574.83,3402.37
22,23,74.87,8240.42,132004.32,2534.87,3440.67
23,24,74.87,8172.29,128456.69,2487.96,3316.04
24,25,75.45,7933.76,129618.52,2504.62,3453.26
25,26,75.39,8128.2,129777.11,2551.1,3197.07
26,27,75.63,7930.15,128568.3,2567.65,3368.76
27,28,75.93,8399.5,130471.19,2506.93,3327.25
28,29,76.15,7930.78,128740.73,2500.99,3263.76
29,30,76.26,8212.94,130020.74,2603.81,3452.69
30,31,76.91,8040.05,130386.65,2422.35,3361.91
31,32,76.67,8350.8,129928.71,2585.91,3355.51
32,33,76.84,8181.37,130059.4,2437.39,3239.03
33,34,77.13,8218.5,129116.03,2536.43,3232.77
34,35,77.53,8187.22,130949.99,2544.51,3405.12
35,36,77.52,8132.4,129593.7,2435.22,3280.03
36,37,77.62,8257.9,130053.8,2491.16,3379.75
37,38,77.6,8093.95,129823.67,2561.37,3681.05
38,39,77.59,8088.58,126644.61,2396.01,3603.05
39,40,77.63,8534.73,132051.19,2548.66,3442.82
40,41,77.85,8360.9,127810.3,2477.18,3161.76
41,42,78.11,7715.95,130787.16,2401.73,3484.03
42,43,78.08,8843.36,131367.01,2481.77,3226.95
43,44,78.26,7800.8,128006.77,2675.68,3332.75
44,45,78.54,8869.38,132767.59,2508.15,3260.2
45,46,78.83,7960.3,126008.19,2392.75,3258.98
46,47,78.64,8156.75,133256.83,2666.29,3560.2
47,48,79.23,8346.44,129640.9,2453.25,3383.79
48,49,78.9,7947.2,127644.78,2735.42,3363.23
49,50,79.26,8134.12,133782.91,2370.33,3169.29
